ID,quote,movie_title,actor_name,category,publish_date,source,context,rating,language,author,author_bio,,,,,,,,,,,
15,We're gonna need a bigger boat.,Jaws,Roy Scheider (Chief Martin Brody),Thriller/Horror,1975,Jaws,Chief Brody's realization of the shark's size.,Null,English,Null,Null,,,,,,,,,,,
16,I don't want to survive. I want to live.,12 Years a Slave,Chiwetel Ejiofor (Solomon Northup),Drama/History,2013,12 Years a Slave,Solomon's expression of his desire for freedom.,Null,English,Solomon Northup (Real-life author of the book '12 Years a Slave'),"Solomon Northup was an American abolitionist and author who wrote his memoir, 'Twelve Years a Slave.'",,,,,,,,,,,
17,"Life is a banquet, and most poor suckers are starving to death.",Auntie Mame,Rosalind Russell (Auntie Mame Dennis),Comedy/Drama,1958,Auntie Mame,Auntie Mame's lively outlook on life.,Null,English,Patrick Dennis (Author of 'Auntie Mame' book),"Patrick Dennis was the pen name of Edward Everett Tanner III, an American author known for writing the novel 'Auntie Mame.'",,,,,,,,,,,
18,I'm walking here!,Midnight Cowboy,Dustin Hoffman (Ratso Rizzo),Drama,1969,Midnight Cowboy,A memorable moment in the film's urban setting.,Null,English,Null,Null,,,,,,,,,,,
19,I am serious. And don't call me Shirley.,Airplane!,Leslie Nielsen (Dr. Rumack),Comedy,1980,Airplane!,A humorous exchange in the film.,Null,English,Null,Null,,,,,,,,,,,
20,It's alive! It's alive!,Frankenstein,Colin Clive (Dr. Henry Frankenstein),Horror/Science Fiction,1931,Frankenstein,Dr. Frankenstein's declaration upon reanimating the creature.,Null,English,Mary Shelley (Author of 'Frankenstein' book),"Mary Shelley was an English novelist known for writing the novel 'Frankenstein; or, The Modern Prometheus.'",,,,,,,,,,,
21,This is the start of a beautiful friendship.,Casablanca,Humphrey Bogart (Rick Blaine),Romance/Drama,1942,Casablanca,"The closing line of the film, symbolizing a new beginning.",Null,English,Null,Null,,,,,,,,,,,
22,"Go ahead, make my day.",Sudden Impact,Clint Eastwood (Harry Callahan),Action/Crime,1983,Sudden Impact,Harry Callahan's famous line before taking action.,Null,English,Null,Null,,,,,,,,,,,
23,"A martini. Shaken, not stirred.",James Bond franchise,"Sean Connery, Roger Moore, various (James Bond)",Spy/Action,Varies (depending on the film),Multiple James Bond films,James Bond's preferred way to have a martini.,Null,English,Ian Fleming (Author of the James Bond novels),Ian Fleming was a British author known for creating the character James Bond.,,,,,,,,,,,
24,"Houston, we have a problem.",Apollo 13,Tom Hanks (Jim Lovell),Drama/History,1995,Apollo 13,Jim Lovell's report of an issue during the Apollo 13 mission.,Null,English,Null,Null,,,,,,,,,,,
25,"If you build it, he will come.",Field of Dreams,Kevin Costner (Ray Kinsella),Drama/Fantasy,1989,Field of Dreams,A mysterious message that drives the film's plot.,Null,English,"W.P. Kinsella (Author of 'Shoeless Joe' book, on which the film is based)",W.P. Kinsella was a Canadian author known for his baseball-themed novels.,,,,,,,,,,,
26,I am Groot.,Guardians of the Galaxy,Vin Diesel (Voice of Groot),Superhero/Science Fiction,2014,Guardians of the Galaxy,"Groot's catchphrase, which means different things based on intonation.",Null,Groot's language (limited vocabulary),Null,Null,,,,,,,,,,,
27,"To be or not to be, that is the question.",Various adaptations of 'Hamlet',Various (Hamlet),Drama,Varies (depending on the adaptation),Various adaptations of Shakespeare's 'Hamlet',Hamlet's famous soliloquy.,Null,English (in the original play),William Shakespeare,William Shakespeare was an English playwright and poet known for his contributions to literature.,,,,,,,,,,,
28,I love the smell of napalm in the morning.,Apocalypse Now,Robert Duvall (Lt. Col. Kilgore),War/Drama,1979,Apocalypse Now,Lt. Col. Kilgore's memorable line during a military operation.,Null,English,Null,Null,,,,,,,,,,,
29,What we've got here is a failure to communicate.,Cool Hand Luke,Strother Martin (Captain),Drama/Crime,1967,Cool Hand Luke,The Captain's explanation of a recurring issue.,Null,English,Null,Null,,,,,,,,,,,
30,"They may take our lives, but they'll never take our freedom!",Braveheart,Mel Gibson (William Wallace),Historical/Drama,1995,Braveheart,William Wallace's rallying cry for Scottish independence.,Null,English,Randall Wallace (Screenwriter of the film),Randall Wallace is an American screenwriter and director.,,,,,,,,,,,
31,I'm gonna make him an offer he can't refuse.,The Godfather,Marlon Brando (Don Vito Corleone),Crime/Drama,1972,The Godfather,Don Vito Corleone's strategy in dealing with an adversary.,Null,English,Null,Null,,,,,,,,,,,
32,Here's Johnny!,The Shining,Jack Nicholson (Jack Torrance),Horror/Thriller,1980,The Shining,Jack Torrance's iconic entrance.,Null,English,Stephen King (Author of 'The Shining' novel),Stephen King is an American author known for his horror and suspense novels.,,,,,,,,,,,
33,I'm king of the world!,Titanic,Leonardo DiCaprio (Jack Dawson),Romance/Drama,1997,Titanic,Jack's exuberant moment on the Titanic's bow.,Null,English,Null,Null,,,,,,,,,,,
34,"I'm not a smart man, but I know what love is.",Forrest Gump,Tom Hanks (Forrest Gump),Drama/Comedy,1994,Forrest Gump,Forrest's reflection on love and simplicity.,Null,English,Null,Null,,,,,,,,,,,
35,"It's not who I am underneath, but what I do that defines me.",Batman Begins,Christian Bale (Bruce Wayne/Batman),Superhero/Action,2005,Batman Begins,Batman's philosophy on identity and actions.,Null,English,Christopher Nolan (Director/Screenwriter of the film),Christopher Nolan is a British-American filmmaker known for his work in the Batman trilogy.,,,,,,,,,,,
36,I am vengeance. I am the night. I am Batman.,Batman: The Animated Series (TV Series),Kevin Conroy (Voice of Batman),Animation/Superhero,1992 (TV Series),Batman: The Animated Series,Batman's introduction in the animated series.,Null,English,Null,Null,,,,,,,,,,,
37,"Wax on, wax off.",The Karate Kid,Pat Morita (Mr. Miyagi),Drama/Action,1984,The Karate Kid,Mr. Miyagi's teaching method.,Null,English,Null,Null,,,,,,,,,,,
38,Nobody puts Baby in a corner.,Dirty Dancing,Patrick Swayze (Johnny Castle),Romance/Drama,1987,Dirty Dancing,Johnny's declaration of love for Baby.,Null,English,Null,Null,,,,,,,,,,,
39,To the infinity and beyond!,Toy Story 3,Tim Allen (Buzz Lightyear),Animation/Family,2010,Toy Story 3,Buzz Lightyear's enthusiastic variation of his catchphrase.,Null,English,Null,Null,,,,,,,,,,,
40,"I'll get you, my pretty, and your little dog too!",The Wizard of Oz,Margaret Hamilton (The Wicked Witch of the West),Fantasy/Adventure,1939,The Wizard of Oz,The Wicked Witch's threat to Dorothy.,Null,English,L. Frank Baum (Author of 'The Wonderful Wizard of Oz' book),Null,,,,,,,,,,,
41,May the Force be with you.,Star Wars,Various (Various Characters),Science Fiction/Adventure,1977,Star Wars,A common expression in the Star Wars universe.,Null,English,George Lucas (Creator of Star Wars),George Lucas is an American filmmaker and the creator of the Star Wars franchise.,,,,,,,,,,,
42,There's no place like home.,The Wizard of Oz,Judy Garland (Dorothy),Fantasy/Adventure,1939,The Wizard of Oz,Dorothy's longing for her home in Kansas.,Null,English,L. Frank Baum (Author of 'The Wonderful Wizard of Oz' book),Null,,,,,,,,,,,
43,"Here's looking at you, kid.",Casablanca,Humphrey Bogart (Rick Blaine),Romance/Drama,1942,Casablanca,Rick's fond farewell to Ilsa.,Null,English,Null,Null,,,,,,,,,,,
44,You can't handle the truth!,A Few Good Men,Jack Nicholson (Colonel Nathan R. Jessep),Drama/Crime,1992,A Few Good Men,A heated courtroom confrontation.,Null,English,Null,Null,,,,,,,,,,,
45,To infinity and beyond!,Toy Story,Tim Allen (Buzz Lightyear),Animation/Family,1995,Toy Story,Buzz Lightyear's catchphrase.,Null,English,Null,Null,,,,,,,,,,,
46,May the odds be ever in your favor.,The Hunger Games,Various (Various Characters),Science Fiction/Adventure,2012,The Hunger Games,A common expression in the Hunger Games world.,Null,English,Suzanne Collins (Author of 'The Hunger Games' book series),Suzanne Collins is an American author known for her dystopian literature.,,,,,,,,,,,
47,You is kind. You is smart. You is important.,The Help,Viola Davis (Aibileen Clark),Drama,2011,The Help,Aibileen's loving words to a child.,Null,English,Kathryn Stockett (Author of 'The Help' novel),Kathryn Stockett is an American author best known for her novel 'The Help.',,,,,,,,,,,
48,"Keep your friends close, but your enemies closer.",The Godfather Part II,Al Pacino (Michael Corleone),Crime/Drama,1974,The Godfather Part II,Michael Corleone's advice on strategy.,Null,English,Null,Null,,,,,,,,,,,
49,I see dead people.,The Sixth Sense,Haley Joel Osment (Cole Sear),Thriller/Drama,1999,The Sixth Sense,Cole Sear's revelation about his ability.,Null,English,Null,Null,,,,,,,,,,,
50,This is the beginning of a beautiful friendship.,Casablanca,Humphrey Bogart (Rick Blaine),Romance/Drama,1942,Casablanca,Rick and Renault's camaraderie.,Null,English,Null,Null,,,,,,,,,,,
51,"I can't carry it for you, but I can carry you.",The Lord of the Rings: The Return of the King,Sean Astin (Samwise Gamgee),Fantasy/Adventure,2003,The Lord of the Rings: The Return of the King,Samwise's determination to help Frodo.,Null,English,J.R.R. Tolkien (Author of 'The Lord of the Rings' book series),"J.R.R. Tolkien was an English writer, poet, and professor known for his fantasy literature.",,,,,,,,,,,
52,I feel the need - the need for speed.,Top Gun,Tom Cruise (Maverick),Action/Drama,1986,Top Gun,Maverick's enthusiasm for fast flying.,Null,English,Null,Null,,,,,,,,,,,
53,There's no crying in baseball!,A League of Their Own,Tom Hanks (Jimmy Dugan),Comedy/Drama,1992,A League of Their Own,Jimmy Dugan's reaction to emotional players.,Null,English,Null,Null,,,,,,,,,,,
54,You talking to me?,Taxi Driver,Robert De Niro (Travis Bickle),Crime/Drama,1976,Taxi Driver,Travis Bickle's intense monologue in front of a mirror.,Null,English,Martin Scorsese (Director of the film),Martin Scorsese is an American filmmaker known for his work in crime and drama genres.,,,,,,,,,,,
55,I'll be back.,The Terminator,Arnold Schwarzenegger (The Terminator),Science Fiction/Action,1984,The Terminator,The Terminator's promise to return.,Null,English,James Cameron (Director/Screenwriter of the film),James Cameron is a Canadian filmmaker known for directing many successful films.,,,,,,,,,,,
56,Life is like a box of chocolates; you never know what you're gonna get.,Forrest Gump,Tom Hanks (Forrest Gump),Drama/Comedy,1994,Forrest Gump,Forrest's philosophical reflection on life.,Null,English,Null,Null,,,,,,,,,,,
57,"I am the danger. A guy opens his door and gets shot, and you think that of me? No. I am the one who knocks!",Breaking Bad (TV Series),Bryan Cranston (Walter White),Crime/Drama (TV Series),2008-2013 (TV Series),Breaking Bad (TV Series),Walter White's transformation into a drug lord.,Null,English,Vince Gilligan (Creator of the TV series),"Vince Gilligan is an American writer, producer, and director best known for creating 'Breaking Bad.'",,,,,,,,,,,
58,Winter is coming.,Game of Thrones (TV Series),Sean Bean (Eddard Stark),Fantasy/Drama (TV Series),2011-2019 (TV Series),Game of Thrones (TV Series),The ominous warning of impending danger in the series.,Null,English,"George R.R. Martin (Author of 'A Song of Ice and Fire' novels, on which the series is based)",George R.R. Martin is an American novelist known for his epic fantasy series 'A Song of Ice and Fire.',,,,,,,,,,,
59,I am not a hero. I am a high-functioning sociopath.,Sherlock (TV Series),Benedict Cumberbatch (Sherlock Holmes),Mystery/Crime (TV Series),2010-2017 (TV Series),Sherlock (TV Series),Sherlock Holmes' self-description.,Null,English,Sir Arthur Conan Doyle (Creator of Sherlock Holmes character),Sir Arthur Conan Doyle was a British author known for creating the character Sherlock Holmes.,,,,,,,,,,,
60,I have nothing to prove to you.,Captain Marvel,Brie Larson (Carol Danvers/Captain Marvel),Superhero/Action,2019,Captain Marvel,Captain Marvel's assertion of her abilities.,Null,English,Null,Null,,,,,,,,,,,
61,Why so serious?,The Dark Knight,Heath Ledger (The Joker),Superhero/Crime,2008,The Dark Knight,The Joker's iconic question to his victims.,Null,English,Null,Null,,,,,,,,,,,
62,I am vengeance. I am the night. I am Batman.,Batman: The Animated Series (TV Series),Kevin Conroy (Voice of Batman),Animation/Superhero (TV Series),1992 (TV Series),Batman: The Animated Series,Batman's introduction in the animated series.,Null,English,Null,Null,,,,,,,,,,,
63,I'll be there for you.,Friends (TV Series),The Rembrandts (Theme Song),Comedy/Romance (TV Series),1994-2004 (TV Series),Friends (TV Series),The iconic theme song of the series.,Null,English,The Rembrandts (Band),The Rembrandts are an American pop rock duo.,,,,,,,,,,,
64,"We are all stories in the end. Just make it a good one, eh?",Doctor Who (TV Series),Matt Smith (The Doctor),Science Fiction/Adventure (TV Series),2005-Present (TV Series),Doctor Who (TV Series),The Doctor's perspective on life and time.,Null,English,Russell T. Davies (Head Writer/Showrunner of the series),Russell T. Davies is a Welsh screenwriter and producer known for reviving 'Doctor Who.',,,,,,,,,,,
65,I have nothing to lose.,Breaking Bad (TV Series),Bryan Cranston (Walter White),Crime/Drama (TV Series),2008-2013 (TV Series),Breaking Bad (TV Series),Walter White's transformation into a drug lord.,Null,English,Vince Gilligan (Creator of the TV series),"Vince Gilligan is an American writer, producer, and director best known for creating 'Breaking Bad.'",,,,,,,,,,,
66,Winter is coming.,Game of Thrones (TV Series),Sean Bean (Eddard Stark),Fantasy/Drama (TV Series),2011-2019 (TV Series),Game of Thrones (TV Series),The ominous warning of impending danger in the series.,Null,English,"George R.R. Martin (Author of 'A Song of Ice and Fire' novels, on which the series is based)",George R.R. Martin is an American novelist known for his epic fantasy series 'A Song of Ice and Fire.',,,,,,,,,,,
67,I am not a hero. I am a high-functioning sociopath.,Sherlock (TV Series),Benedict Cumberbatch (Sherlock Holmes),Mystery/Crime (TV Series),2010-2017 (TV Series),Sherlock (TV Series),Sherlock Holmes' self-description.,Null,English,Sir Arthur Conan Doyle (Creator of Sherlock Holmes character),Sir Arthur Conan Doyle was a British author known for creating the character Sherlock Holmes.,,,,,,,,,,,
68,I have nothing to prove to you.,Captain Marvel,Brie Larson (Carol Danvers/Captain Marvel),Superhero/Action,2019,Captain Marvel,Captain Marvel's assertion of her abilities.,Null,English,Null,Null,,,,,,,,,,,
69,Why so serious?,The Dark Knight,Heath Ledger (The Joker),Superhero/Crime,2008,The Dark Knight,The Joker's iconic question to his victims.,Null,English,Null,Null,,,,,,,,,,,
70,I am vengeance. I am the night. I am Batman.,Batman: The Animated Series (TV Series),Kevin Conroy (Voice of Batman),Animation/Superhero (TV Series),1992 (TV Series),Batman: The Animated Series,Batman's introduction in the animated series.,Null,English,Null,Null,,,,,,,,,,,
71,I'll be there for you.,Friends (TV Series),The Rembrandts (Theme Song),Comedy/Romance (TV Series),1994-2004 (TV Series),Friends (TV Series),The iconic theme song of the series.,Null,English,The Rembrandts (Band),The Rembrandts are an American pop rock duo.,,,,,,,,,,,
72,I am Groot.,Guardians of the Galaxy,Vin Diesel (Voice of Groot),Superhero/Science Fiction,2014,Guardians of the Galaxy,"Groot's catchphrase, which means different things based on intonation.",Null,Groot's language (limited vocabulary),Null,Null,,,,,,,,,,,
73,"To be or not to be, that is the question.",Various adaptations of 'Hamlet',Various (Hamlet),Drama,Varies (depending on the adaptation),Various adaptations of Shakespeare's 'Hamlet',Hamlet's famous soliloquy.,Null,English (in the original play),William Shakespeare,William Shakespeare was an English playwright and poet known for his contributions to literature.,,,,,,,,,,,
74,I love the smell of napalm in the morning.,Apocalypse Now,Robert Duvall (Lt. Col. Kilgore),War/Drama,1979,Apocalypse Now,Lt. Col. Kilgore's memorable line during a military operation.,Null,English,Null,Null,,,,,,,,,,,
75,What we've got here is a failure to communicate.,Cool Hand Luke,Strother Martin (Captain),Drama/Crime,1967,Cool Hand Luke,The Captain's explanation of a recurring issue.,Null,English,Null,Null,,,,,,,,,,,
76,"They may take our lives, but they'll never take our freedom!",Braveheart,Mel Gibson (William Wallace),Historical/Drama,1995,Braveheart,William Wallace's rallying cry for Scottish independence.,Null,English,Randall Wallace (Screenwriter of the film),Randall Wallace is an American screenwriter and director.,,,,,,,,,,,
77,I am the one who knocks.,Breaking Bad (TV Series),Bryan Cranston (Walter White),Crime/Drama,2008-2013,Breaking Bad,Walter White's transformation into a drug lord.,Null,English,Vince Gilligan (Creator of the series),"Vince Gilligan is an American writer, producer, and director known for creating 'Breaking Bad.'",,,,,,,,,,,
78,Winter is coming.,Game of Thrones (TV Series),Sean Bean (Eddard Stark),Fantasy/Drama,2011-2019,Game of Thrones,The looming threat of the long winter in Westeros.,Null,English,George R.R. Martin (Author of 'A Song of Ice and Fire' book series),George R.R. Martin is an American novelist and author of the book series that inspired the TV series.,,,,,,,,,,,
79,I am not a number; I am a free man!,The Prisoner (TV Series),Patrick McGoohan (Number Six),Science Fiction/Drama,1967-1968,The Prisoner,Number Six's defiance in a mysterious and surreal village.,Null,English,Patrick McGoohan (Co-creator of the series),Patrick McGoohan was a British-American actor and co-creator of 'The Prisoner' series.,,,,,,,,,,,
80,"In my culture, death is not the end.",Star Trek: The Next Generation (TV Series),Michael Dorn (Worf),Science Fiction/Adventure,1987-1994,Star Trek: The Next Generation,Worf's Klingon beliefs about the afterlife.,Null,English,Gene Roddenberry (Creator of the series),Gene Roddenberry was an American television producer and creator of the 'Star Trek' franchise.,,,,,,,,,,,
81,That's what she said.,The Office (U.S.) (TV Series),Steve Carell (Michael Scott),Comedy,2005-2013,The Office (U.S.),Michael Scott's signature catchphrase in awkward situations.,Null,English,Ricky Gervais (Co-creator of the original UK series),"Ricky Gervais is a British comedian, actor, and co-creator of the original 'The Office' series.",,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,
